user_id	item_id
35688	1289
35688	1457
35688	1332
35711	1187
35713	1203
35716	1211
35717	1211
35718	1212
35721	1160
35725	1250
35726	1172
35727	1245
35733	1172
35734	1245
35736	1193
35738	1193
35746	1170
35752	1384
35757	1245
35758	1203
35758	1206
35761	1203
35767	1243
35768	1245
35779	1521
35779	1342
35779	1367
35779	1314
35779	1307
35779	1292
35792	1167
35800	1206
35802	1528
35806	1216
35814	1378
35815	1290
35815	1303
35825	1292
35825	1297
35825	1363
35832	1751
35832	1289
35832	1291
35832	1508
35832	1463
35832	1342
35832	1303
35832	1533
35832	1546
35832	1307
35832	1289
35832	1294
35832	1298
35832	1291
35832	1530
35832	1378
35832	1367
35832	1307
35832	1333
35832	1291
35832	1309
35832	1378
35832	1367
35832	1307
35832	1333
35832	1291
35832	1309
35832	1307
35832	1290
35832	1314
35832	1298
35832	1289
35832	1303
35832	1291
35832	1292
35832	1293
35832	1296
35832	1578
35832	1639
35832	1647
35840	1454
35849	1302
35849	1311
35849	1290
35849	1293
35849	1295
35849	1300
35857	1307
35857	1314
35860	1652
35860	1642
35860	1329
35860	1297
35860	1360
35860	1310
35861	1371
35862	1299
35871	1218
35872	1545
35872	1566
35872	1565
35872	1523
35877	1660
35877	1604
35877	1289
35877	1315
35882	1307
35886	1310
35886	1310
35896	1242
35900	1243
35907	1307
35907	1297
35914	1253
35914	1532
35914	1253
35914	1298
35914	1314
35914	1366
35919	1297
35919	1294
35919	1326
35959	1298
35972	1314
35991	1550
35994	1660
35994	1545
35994	1652
35994	1751
36000	1343
36000	1332
36000	1293
36000	1527
36000	1527
36000	1527
36002	1312
36002	1313
36002	1343
36013	1555
36013	1298
36013	1293
36013	1302
36013	1597
36013	1527
36013	1591
36014	1293
36038	1172
36038	1172
36053	1298
36099	1300
36099	1300
36099	1324
36099	1419
36099	1326
36099	1367
36099	1378
36099	1293
36099	1545
36099	1314
36100	1419
36100	1326
36102	1280
36119	1293
36128	1326
36128	1419
36128	1313
36128	1323
36134	1253
36141	1204
36142	1299
36164	1222
36167	1596
36173	1199
36187	1305
36187	1299
36209	1520
36209	1529
36209	1455
36209	1419
36209	1519
36209	1293
36209	1515
36209	1535
36209	1511
36209	1513
36209	1307
36209	1314
36209	1517
36209	1326
36209	1446
36209	1659
36209	1343
36251	1222
36256	1211
36272	1286
36272	1286
36305	1278
36310	1179
36312	1166
36328	1293
36332	1166
36340	1407
36344	1336
36355	1218
36365	1300
36365	1313
36370	1268
36396	1281
36415	1262
36434	1186
36436	1290
36448	1298
36448	1293
36448	1253
36448	1291
36448	1253
36448	1290
36448	1289
36448	1578
36448	1307
36448	1532
36448	1343
36448	1289
36448	1289
36486	1545
36492	1292
36492	1738
36492	1707
36492	1325
36492	1520
36492	1363
36492	1366
36492	1296
36492	1290
36492	1306
36492	1305
36492	1444
36492	1444
36492	1607
36492	1590
36492	1614
36492	1444
36492	1634
36492	1604
36492	1297
36492	1503
36492	1524
36492	1305
36492	1367
36492	1591
36492	1306
36499	1426
36516	1184
36518	1298
36518	1294
36518	1465
36525	1298
36529	1262
36550	1313
36550	1311
36550	1337
36566	1314
36566	1315
36566	1292
36566	1325
36566	1326
36566	1419
36566	1294
36566	1299
36566	1293
36566	1326
36566	1314
36566	1303
36566	1312
36566	1322
36566	1324
36571	1291
36586	1253
36599	1298
36599	1313
36607	1290
36607	1527
36607	1314
36607	1307
36610	1324
36610	1326
36620	1295
36620	1311
36620	1309
36620	1296
36621	1314
36621	1307
36621	1314
36621	1298
36621	1307
36621	1444
36621	1314
36621	1298
36621	1307
36621	1444
36621	1298
36621	1509
36621	1651
36622	1184
36631	1423
36631	1529
36646	1751
36646	1293
36646	1291
36646	1296
36650	1314
36650	1533
36651	1284
36652	1314
36685	1166
36690	1325
36709	1282
36712	1505
36719	1300
36726	1319
36726	1290
36726	1289
36732	1218
36732	1300
36732	1185
36732	1596
36734	1263
36760	1310
36760	1303
36760	1698
36760	1342
36760	1341
36760	1532
36765	1274
36805	1457
36805	1312
36810	1259
36828	1330
36828	1591
36828	1597
36828	1506
36828	1463
36828	1297
36831	1367
36831	1708
36831	1298
36831	1367
36831	1580
36831	1580
36831	1580
36831	1290
36834	1292
36841	1166
36858	1298
36869	1253
36872	1208
36878	1352
36878	1347
36878	1347
36878	1367
36878	1291
36878	1530
36878	1302
36878	1555
36878	1298
36878	1289
36878	1327
36878	1315
36878	1314
36878	1326
36878	1532
36887	1341
36888	1298
36888	1555
36890	1184
36905	1294
36905	1363
36905	1366
36905	1423
36905	1297
36905	1253
36951	1259
36952	1281
36975	1307
36975	1520
36975	1297
36975	1296
36975	1303
36975	1308
36978	1291
36979	1596
36983	1342
36983	1326
36983	1293
36983	1462
36983	1454
36983	1465
36983	1290
36983	1604
36983	1289
36989	1289
36989	1290
36990	1362
37007	1298
37013	1206
37019	1757
37019	1758
37019	1756
37025	1320
37033	1289
37037	1283
37039	1310
37039	1291
37039	1290
37046	1297
37046	1419
37046	1297
37046	1419
37062	1290
37062	1303
37062	1303
37062	1289
37062	1298
37090	1283
37099	1218
37102	1212
37102	1217
37114	1297
37114	1297
37114	1597
37122	1290
37125	1290
37133	1274
37148	1297
37148	1302
37163	1325
37170	1243
37172	1314
37172	1307
37178	1218
37195	1212
37206	1290
37236	1446
37236	1527
37236	1597
37236	1580
37236	1590
37260	1280
37269	1294
37269	1302
37269	1294
37280	1591
37288	1597
37314	1173
37315	1212
37318	1171
37349	1242
37349	1289
37349	1296
37358	1321
37358	1322
37358	1314
37364	1659
37364	1465
37389	1200
37400	1282
37413	1166
37417	1290
37417	1316
37417	1312
37417	1313
37417	1335
37417	1334
37417	1330
37417	1293
37417	1333
37417	1312
37417	1313
37417	1316
37417	1321
37417	1303
37417	1307
37417	1290
37417	1328
37417	1312
37417	1290
37417	1303
37417	1289
37417	1289
37417	1327
37417	1325
37417	1303
37417	1290
37417	1335
37417	1465
37417	1315
37417	1300
37417	1321
37417	1309
37417	1316
37417	1312
37417	1313
37417	1422
37417	1457
37417	1290
37417	1422
37417	1312
37417	1457
37417	1316
37417	1313
37417	1312
37417	1307
37424	1292
37426	1275
37431	1263
37444	1166
37450	1282
37456	1292
37465	1346
37465	1335
37465	1444
37465	1614
37465	1319
37467	1302
37467	1289
37467	1298
37467	1291
37467	1297
37467	1293
37467	1295
37467	1292
37467	1289
37467	1295
37467	1290
37467	1293
37474	1166
37476	1242
37479	1319
37479	1336
37479	1320
37479	1659
37479	1368
37479	1306
37487	1289
37487	1313
37487	1303
37487	1313
37495	1278
37501	1378
37501	1659
37501	1604
37501	1289
37501	1253
37501	1289
37501	1290
37501	1289
37501	1290
37504	1364
37511	1280
37511	1325
37514	1296
37517	1313
37517	1324
37517	1290
37517	1324
37517	1313
37519	1282
37530	1314
37533	1283
37546	1242
37557	1166
37560	1751
37596	1325
37596	1324
37596	1290
37596	1454
37596	1536
37596	1510
37596	1444
37596	1638
37596	1419
37612	1465
37612	1465
37612	1290
37612	1373
37612	1375
37612	1336
37612	1314
37612	1303
37622	1292
37631	1274
37631	1223
37644	1283
37648	1307
37648	1314
37656	1307
37656	1314
37656	1296
37656	1295
37656	1297
37656	1298
37656	1555
37656	1309
37656	1326
37657	1310
37658	1378
37663	1283
37666	1186
37670	1325
37670	1290
37672	1530
37679	1281
37699	1166
37716	1455
37716	1546
37716	1591
37723	1293
37723	1294
37723	1298
37723	1296
37726	1292
37726	1333
37728	1290
37736	1231
37745	1343
37745	1290
37745	1297
37745	1303
37745	1291
37771	1326
37771	1335
37771	1326
37771	1303
37772	1162
37774	1275
37789	1310
37789	1302
37789	1315
37789	1364
37805	1342
37805	1297
37805	1292
37805	1310
37811	1300
37811	1302
37811	1290
37811	1289
37815	1290
37818	1303
37818	1291
37818	1293
37818	1323
37818	1298
37818	1295
37818	1294
37818	1345
37818	1347
37818	1346
37818	1306
37831	1290
37831	1293
