item_id	category_id
1155	173
1156	162
1157	173
1158	173
1159	173
1160	160
1161	160
1162	144
1162	148
1163	133
1164	144
1165	144
1166	173
1167	161
1168	161
1169	161
1170	172
1171	161
1172	172
1173	161
1174	161
1175	172
1176	155
1177	172
1178	155
1179	155
1180	172
1181	155
1182	172
1183	158
1184	172
1185	160
1186	172
1187	160
1188	173
1189	172
1190	172
1191	172
1192	160
1193	172
1194	157
1195	157
1196	157
1197	157
1198	157
1199	157
1200	157
1201	157
1202	157
1203	169
1204	169
1205	162
1206	169
1207	173
1208	160
1209	160
1210	173
1211	160
1212	173
1213	160
1214	173
1215	160
1216	160
1217	168
1218	160
1219	157
1219	160
1220	168
1221	157
1222	157
1222	173
1223	157
1223	160
1223	172
1224	157
1224	173
1225	138
1226	138
1227	133
1228	133
1229	162
1230	162
1231	162
1232	162
1233	162
1234	162
1235	162
1236	162
1237	162
1238	173
1239	173
1240	162
1241	173
1242	168
1243	172
1244	160
1245	172
1246	160
1247	160
1248	160
1249	133
1250	160
1251	133
1252	143
1253	134
1253	152
1254	124
1255	124
1256	124
1257	124
1258	124
1259	160
1260	160
1261	160
1262	169
1263	160
1264	173
1265	169
1266	168
1267	173
1268	155
1269	160
1270	168
1271	160
1272	168
1273	173
1274	172
1275	160
1276	172
1277	161
1278	172
1279	157
1279	160
1280	160
1281	172
1282	160
1283	173
1284	160
1285	173
1286	168
1287	161
1288	152
1289	128
1289	168
1290	128
1290	168
1291	129
1291	168
1292	168
1292	170
1293	129
1293	164
1293	168
1294	128
1294	168
1295	154
1295	168
1296	129
1296	168
1297	168
1297	170
1298	129
1298	164
1298	168
1299	129
1299	154
1299	168
1300	154
1300	163
1300	168
1301	129
1301	168
1302	129
1302	168
1303	128
1303	140
1303	168
1304	128
1304	141
1304	168
1305	164
1305	168
1306	164
1306	168
1307	164
1307	168
1308	164
1308	168
1309	154
1309	168
1309	171
1310	154
1310	168
1310	171
1311	168
1312	140
1312	163
1312	168
1313	140
1313	163
1313	168
1314	164
1314	168
1315	129
1315	168
1316	140
1316	168
1317	140
1317	163
1317	168
1318	140
1318	168
1319	163
1319	168
1320	163
1320	168
1321	163
1321	168
1322	131
1322	163
1322	168
1323	131
1323	163
1323	168
1324	131
1324	140
1324	168
1325	131
1325	140
1325	168
1326	131
1326	140
1326	168
1326	171
1327	128
1327	168
1328	163
1328	168
1328	170
1329	163
1329	168
1330	164
1330	168
1330	170
1331	141
1331	164
1331	168
1332	168
1332	170
1333	131
1333	163
1333	168
1334	131
1334	168
1334	170
1335	140
1335	168
1335	171
1336	163
1336	168
1337	140
1337	168
1338	168
1338	170
1339	168
1339	170
1340	168
1340	170
1341	168
1341	170
1342	168
1342	170
1343	168
1343	170
1344	163
1344	168
1345	163
1345	168
1346	128
1346	168
1347	168
1347	170
1348	173
1349	173
1350	160
1351	169
1352	137
1353	137
1356	137
1357	137
1360	125
1361	135
1361	140
1361	154
1361	168
1362	168
1363	135
1363	154
1363	168
1363	170
1364	129
1364	154
1364	168
1365	154
1365	168
1366	129
1366	154
1366	168
1367	135
1367	154
1367	164
1367	168
1368	154
1368	164
1368	168
1369	168
1370	172
1371	168
1372	168
1372	170
1373	128
1373	131
1373	168
1374	163
1374	168
1375	154
1375	163
1375	168
1376	152
1377	133
1378	134
1378	152
1379	173
1380	160
1381	160
1382	133
1383	173
1384	160
1385	149
1386	149
1387	139
1387	149
1388	143
1389	145
1390	142
1391	142
1392	141
1393	139
1394	144
1395	138
1396	138
1397	138
1398	138
1399	138
1400	138
1401	138
1402	138
1403	124
1404	124
1405	124
1406	124
1407	124
1408	124
1409	124
1410	124
1411	124
1412	124
1413	124
1414	124
1415	167
1416	167
1417	167
1418	168
1418	170
1419	131
1419	140
1419	168
1420	131
1420	163
1420	168
1421	131
1421	168
1421	170
1422	140
1422	163
1422	168
1423	154
1423	164
1423	168
1424	173
1426	138
1427	152
1428	152
1429	157
1429	160
1430	173
1431	133
1432	132
1433	142
1434	168
1434	171
1435	132
1436	173
1437	173
1438	160
1439	165
1440	165
1441	166
1442	132
1443	132
1443	141
1444	135
1444	154
1444	168
1445	125
1446	135
1446	154
1446	168
1447	165
1448	166
1449	173
1450	166
1451	166
1452	160
1453	149
1454	143
1455	147
1456	152
1457	140
1457	163
1457	168
1458	168
1458	170
1459	163
1459	168
1460	168
1460	170
1461	129
